127.0.0.1 - - [04/Mar/2022:17:58:41 -0300] "GET / HTTP/1.1" 404 1036
0:0:0:0:0:0:0:1 - - [04/Mar/2022:17:58:42 -0300] "GET /PI-AssistenciaTecnica/ HTTP/1.1" 200 2810
0:0:0:0:0:0:0:1 - - [04/Mar/2022:17:58:42 -0300] "GET /PI-AssistenciaTecnica/css/login.css HTTP/1.1" 200 874
0:0:0:0:0:0:0:1 - - [04/Mar/2022:17:58:42 -0300] "GET /PI-AssistenciaTecnica/imgs/logo.png HTTP/1.1" 200 2031
0:0:0:0:0:0:0:1 - - [04/Mar/2022:17:58:42 -0300] "GET /PI-AssistenciaTecnica/js/login.js HTTP/1.1" 200 557
0:0:0:0:0:0:0:1 - - [04/Mar/2022:17:58:52 -0300] "GET /PI-AssistenciaTecnica/ HTTP/1.1" 200 2810
0:0:0:0:0:0:0:1 - - [04/Mar/2022:17:58:52 -0300] "GET /PI-AssistenciaTecnica/css/login.css HTTP/1.1" 200 874
0:0:0:0:0:0:0:1 - - [04/Mar/2022:17:58:52 -0300] "GET /PI-AssistenciaTecnica/js/login.js HTTP/1.1" 200 557
0:0:0:0:0:0:0:1 - - [04/Mar/2022:17:58:52 -0300] "GET /PI-AssistenciaTecnica/imgs/logo.png HTTP/1.1" 200 2031
0:0:0:0:0:0:0:1 - - [04/Mar/2022:17:58:53 -0300] "GET /favicon.ico HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [04/Mar/2022:17:58:57 -0300] "POST /PI-AssistenciaTecnica/autenticar HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Mar/2022:17:58:57 -0300] "GET /PI-AssistenciaTecnica/pages/adm HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Mar/2022:17:58:57 -0300] "GET /PI-AssistenciaTecnica/pages/adm/ HTTP/1.1" 200 1379
0:0:0:0:0:0:0:1 - - [04/Mar/2022:17:58:57 -0300] "GET /PI-AssistenciaTecnica/css/admin.css HTTP/1.1" 200 1279
0:0:0:0:0:0:0:1 - - [04/Mar/2022:17:58:57 -0300] "GET /PI-AssistenciaTecnica/js/general.js HTTP/1.1" 200 1063
0:0:0:0:0:0:0:1 - - [04/Mar/2022:17:58:57 -0300] "GET /PI-AssistenciaTecnica/css/jquery-ui.css HTTP/1.1" 200 38140
0:0:0:0:0:0:0:1 - - [04/Mar/2022:17:58:57 -0300] "GET /PI-AssistenciaTecnica/js/jquery-ui.js HTTP/1.1" 200 539421
0:0:0:0:0:0:0:1 - - [04/Mar/2022:17:58:57 -0300] "GET /PI-AssistenciaTecnica/pages/adm/geral/cabecalho.html HTTP/1.1" 200 967
0:0:0:0:0:0:0:1 - - [04/Mar/2022:17:58:58 -0300] "GET /PI-AssistenciaTecnica/pages/adm/funcao/cadastro_funcionario/ HTTP/1.1" 200 2744
0:0:0:0:0:0:0:1 - - [04/Mar/2022:17:58:58 -0300] "GET /PI-AssistenciaTecnica/js/admin_cadastroFuncionario.js HTTP/1.1" 200 7580
0:0:0:0:0:0:0:1 - - [04/Mar/2022:17:58:58 -0300] "GET /PI-AssistenciaTecnica/rest/funcionario/buscar HTTP/1.1" 200 54
0:0:0:0:0:0:0:1 - - [04/Mar/2022:17:58:58 -0300] "GET /PI-AssistenciaTecnica/imgs/edit.png HTTP/1.1" 200 9699
0:0:0:0:0:0:0:1 - - [04/Mar/2022:17:58:58 -0300] "GET /PI-AssistenciaTecnica/imgs/delete.png HTTP/1.1" 200 55056
0:0:0:0:0:0:0:1 - - [04/Mar/2022:17:59:11 -0300] "GET /PI-AssistenciaTecnica/css/images/ui-bg_highlight-soft_100_eeeeee_1x100.png HTTP/1.1" 200 342
0:0:0:0:0:0:0:1 - - [04/Mar/2022:17:59:11 -0300] "GET /PI-AssistenciaTecnica/css/images/ui-bg_gloss-wave_35_f6a828_500x100.png HTTP/1.1" 200 5873
0:0:0:0:0:0:0:1 - - [04/Mar/2022:17:59:11 -0300] "GET /PI-AssistenciaTecnica/css/images/ui-icons_222222_256x240.png HTTP/1.1" 200 7025
0:0:0:0:0:0:0:1 - - [04/Mar/2022:17:59:11 -0300] "GET /PI-AssistenciaTecnica/css/images/ui-bg_diagonals-thick_20_666666_40x40.png HTTP/1.1" 200 384
0:0:0:0:0:0:0:1 - - [04/Mar/2022:17:59:17 -0300] "POST /PI-AssistenciaTecnica/rest/funcionario/cadastrar HTTP/1.1" 200 33
0:0:0:0:0:0:0:1 - - [04/Mar/2022:17:59:17 -0300] "GET /PI-AssistenciaTecnica/rest/funcionario/buscar HTTP/1.1" 200 103
0:0:0:0:0:0:0:1 - - [04/Mar/2022:17:59:24 -0300] "POST /PI-AssistenciaTecnica/rest/funcionario/cadastrar HTTP/1.1" 200 33
0:0:0:0:0:0:0:1 - - [04/Mar/2022:17:59:24 -0300] "GET /PI-AssistenciaTecnica/rest/funcionario/buscar HTTP/1.1" 200 152
0:0:0:0:0:0:0:1 - - [04/Mar/2022:17:59:30 -0300] "POST /PI-AssistenciaTecnica/rest/funcionario/cadastrar HTTP/1.1" 200 33
0:0:0:0:0:0:0:1 - - [04/Mar/2022:17:59:30 -0300] "GET /PI-AssistenciaTecnica/rest/funcionario/buscar HTTP/1.1" 200 201
0:0:0:0:0:0:0:1 - - [04/Mar/2022:17:59:52 -0300] "GET /PI-AssistenciaTecnica/ HTTP/1.1" 200 2810
0:0:0:0:0:0:0:1 - - [04/Mar/2022:17:59:52 -0300] "GET /PI-AssistenciaTecnica/css/login.css HTTP/1.1" 200 874
0:0:0:0:0:0:0:1 - - [04/Mar/2022:17:59:52 -0300] "GET /PI-AssistenciaTecnica/js/login.js HTTP/1.1" 200 557
0:0:0:0:0:0:0:1 - - [04/Mar/2022:17:59:52 -0300] "GET /PI-AssistenciaTecnica/imgs/logo.png HTTP/1.1" 200 2031
0:0:0:0:0:0:0:1 - - [04/Mar/2022:17:59:55 -0300] "POST /PI-AssistenciaTecnica/autenticar HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Mar/2022:17:59:55 -0300] "GET /PI-AssistenciaTecnica/pages/adm HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Mar/2022:17:59:55 -0300] "GET /PI-AssistenciaTecnica/pages/adm/ HTTP/1.1" 200 1379
